node	tip1ID	tip2ID	Afrotropical	Oriental	Australian	Neotropical	Oceanian	Madagascan	Saharo_Arabian	Nearctic	Sino_Japanese	Palearctic
152 	 AF189089_Ceratokalotermes_spoliator 	 AUS89_Kalotermes_sp. 	 0.00 	 0.00 	 99.99 	 0.00 	 0.00 	 0.00 	 0.00 	 0.00 	 0.00 	 0.00
153 	 20140314-5_Kalotermes_hilli 	 AUS89_Kalotermes_sp. 	 0.02 	 0.06 	 99.70 	 0.02 	 0.02 	 0.02 	 0.03 	 0.08 	 0.02 	 0.05
154 	 FL901_0_Kalotermes_approximatus 	 KF_Kalotermes_flavicollis 	 0.75 	 0.78 	 5.66 	 0.91 	 0.75 	 0.75 	 2.28 	 32.74 	 1.30 	 54.08
155 	 20140314-5_Kalotermes_hilli 	 KF_Kalotermes_flavicollis 	 0.80 	 1.06 	 56.77 	 2.36 	 0.80 	 0.82 	 2.40 	 23.24 	 0.84 	 10.92
156 	 AUS101_Glyptotermes_nr.irridipenis 	 AUS109_Glyptotermes_sp. 	 0.01 	 1.97 	 97.94 	 0.01 	 0.01 	 0.01 	 0.01 	 0.01 	 0.01 	 0.01
157 	 CHI15-75_Glyptotermes_sp. 	 CHI15-80_Glyptotermes_sp. 	 0.01 	 99.93 	 0.03 	 0.00 	 0.00 	 0.00 	 0.00 	 0.00 	 0.01 	 0.00
158 	 AUS101_Glyptotermes_nr.irridipenis 	 CHI15-80_Glyptotermes_sp. 	 0.09 	 95.52 	 3.81 	 0.06 	 0.06 	 0.06 	 0.06 	 0.06 	 0.24 	 0.06
159 	 AUS101_Glyptotermes_nr.irridipenis 	 KP026257_Glyptotermes_satsumensis 	 0.19 	 96.66 	 0.60 	 0.05 	 0.05 	 0.05 	 0.05 	 0.07 	 2.24 	 0.05
160 	 AUS101_Glyptotermes_nr.irridipenis 	 KP026300_Glyptotermes_sp. 	 0.04 	 99.93 	 0.01 	 0.00 	 0.00 	 0.00 	 0.00 	 0.00 	 0.01 	 0.00
161 	 CHI15-117_Glyptotermes_sp. 	 CHI15-24_Glyptotermes_sp. 	 0.00 	 100.00 	 0.00 	 0.00 	 0.00 	 0.00 	 0.00 	 0.00 	 0.00 	 0.00
162 	 CHI15-66_Glyptotermes_sp. 	 THAI112_Glyptotermes_sp. 	 0.00 	 100.00 	 0.00 	 0.00 	 0.00 	 0.00 	 0.00 	 0.00 	 0.00 	 0.00
163 	 CHI15-117_Glyptotermes_sp. 	 THAI112_Glyptotermes_sp. 	 0.01 	 99.99 	 0.00 	 0.00 	 0.00 	 0.00 	 0.00 	 0.00 	 0.00 	 0.00
164 	 AUS101_Glyptotermes_nr.irridipenis 	 THAI112_Glyptotermes_sp. 	 0.19 	 99.79 	 0.00 	 0.00 	 0.00 	 0.00 	 0.00 	 0.00 	 0.00 	 0.00
165 	 KE15-168_Glyptotermes_brevicaudatus 	 RDCT163_Glyptotermes_sp. 	 100.00 	 0.00 	 0.00 	 0.00 	 0.00 	 0.00 	 0.00 	 0.00 	 0.00 	 0.00
166 	 Cam16-40_Glyptotermes_sp. 	 RDCT163_Glyptotermes_sp. 	 99.99 	 0.00 	 0.00 	 0.00 	 0.00 	 0.00 	 0.00 	 0.00 	 0.00 	 0.00
167 	 Cam16-44_Glyptotermes_sp. 	 Cam17-PG-1-TA_Glyptotermes_sp. 	 100.00 	 0.00 	 0.00 	 0.00 	 0.00 	 0.00 	 0.00 	 0.00 	 0.00 	 0.00
168 	 Cam16-42_Glyptotermes_sp. 	 Cam17-PG-1-TA_Glyptotermes_sp. 	 99.99 	 0.00 	 0.00 	 0.00 	 0.00 	 0.00 	 0.00 	 0.00 	 0.00 	 0.00
169 	 Cam16-40_Glyptotermes_sp. 	 Cam17-PG-1-TA_Glyptotermes_sp. 	 97.17 	 2.73 	 0.01 	 0.01 	 0.01 	 0.01 	 0.01 	 0.01 	 0.01 	 0.01
170 	 AUS101_Glyptotermes_nr.irridipenis 	 Cam17-PG-1-TA_Glyptotermes_sp. 	 1.82 	 98.00 	 0.02 	 0.03 	 0.02 	 0.02 	 0.02 	 0.02 	 0.03 	 0.02
171 	 CHI15-85_Glyptotermes_sp. 	 CHI15-87_Glyptotermes_sp. 	 0.00 	 100.00 	 0.00 	 0.00 	 0.00 	 0.00 	 0.00 	 0.00 	 0.00 	 0.00
