node	tip1ID	tip2ID	Afrotropical	Oriental	Australian	Neotropical	Oceanian	Madagascan	Saharo_Arabian	Nearctic	Sino_Japanese	Palearctic
145 	 AF189089_Ceratokalotermes_spoliator 	 AUS89_Kalotermes_sp. 	 0.00 	 0.00 	 99.98 	 0.00 	 0.00 	 0.00 	 0.00 	 0.00 	 0.00 	 0.00
146 	 20140314-5_Kalotermes_hilli 	 AUS89_Kalotermes_sp. 	 0.01 	 0.03 	 99.81 	 0.01 	 0.01 	 0.01 	 0.02 	 0.06 	 0.01 	 0.03
147 	 FL901_0_Kalotermes_approximatus 	 KF_Kalotermes_flavicollis 	 0.60 	 0.62 	 5.23 	 0.66 	 0.60 	 0.60 	 1.39 	 40.67 	 0.85 	 48.77
148 	 20140314-5_Kalotermes_hilli 	 KF_Kalotermes_flavicollis 	 0.62 	 0.89 	 57.37 	 1.28 	 0.62 	 0.63 	 2.26 	 25.62 	 0.66 	 10.04
149 	 AUS101_Glyptotermes_nr.irridipenis 	 AUS109_Glyptotermes_sp. 	 0.01 	 0.64 	 99.32 	 0.00 	 0.00 	 0.00 	 0.00 	 0.00 	 0.01 	 0.00
150 	 CHI15-75_Glyptotermes_sp. 	 CHI15-80_Glyptotermes_sp. 	 0.01 	 99.97 	 0.01 	 0.00 	 0.00 	 0.00 	 0.00 	 0.00 	 0.00 	 0.00
151 	 AUS101_Glyptotermes_nr.irridipenis 	 CHI15-80_Glyptotermes_sp. 	 0.12 	 96.77 	 2.60 	 0.05 	 0.05 	 0.05 	 0.05 	 0.05 	 0.20 	 0.05
152 	 AUS101_Glyptotermes_nr.irridipenis 	 KP026257_Glyptotermes_satsumensis 	 0.25 	 97.05 	 0.40 	 0.06 	 0.06 	 0.06 	 0.06 	 0.07 	 1.95 	 0.05
153 	 AUS101_Glyptotermes_nr.irridipenis 	 KP026300_Glyptotermes_sp. 	 0.06 	 99.87 	 0.01 	 0.00 	 0.00 	 0.00 	 0.00 	 0.00 	 0.04 	 0.00
154 	 CHI15-117_Glyptotermes_sp. 	 CHI15-24_Glyptotermes_sp. 	 0.00 	 100.00 	 0.00 	 0.00 	 0.00 	 0.00 	 0.00 	 0.00 	 0.00 	 0.00
155 	 CHI15-66_Glyptotermes_sp. 	 THAI112_Glyptotermes_sp. 	 0.00 	 100.00 	 0.00 	 0.00 	 0.00 	 0.00 	 0.00 	 0.00 	 0.00 	 0.00
