node	tip1ID	tip2ID	Afrotropical	Oriental	Australian	Neotropical	Oceanian	Madagascan	Saharo_Arabian	Nearctic	Sino_Japanese	Palearctic
143 	 AUS101_Glyptotermes_nr.irridipenis 	 AUS109_Glyptotermes_sp. 	 0.00 	 0.12 	 99.85 	 0.00 	 0.00 	 0.00 	 0.00 	 0.00 	 0.01 	 0.00
144 	 AUS101_Glyptotermes_nr.irridipenis 	 KP026257_Glyptotermes_satsumensis 	 0.28 	 58.28 	 13.48 	 0.24 	 0.24 	 0.24 	 0.24 	 0.31 	 26.46 	 0.23
145 	 CHI15-75_Glyptotermes_sp. 	 CHI15-80_Glyptotermes_sp. 	 0.00 	 99.99 	 0.00 	 0.00 	 0.00 	 0.00 	 0.00 	 0.00 	 0.00 	 0.00
146 	 AUS101_Glyptotermes_nr.irridipenis 	 CHI15-80_Glyptotermes_sp. 	 0.04 	 99.60 	 0.10 	 0.02 	 0.01 	 0.01 	 0.01 	 0.02 	 0.17 	 0.01
147 	 AUS101_Glyptotermes_nr.irridipenis 	 KP026300_Glyptotermes_sp. 	 0.04 	 99.91 	 0.01 	 0.01 	 0.00 	 0.00 	 0.00 	 0.00 	 0.02 	 0.00
148 	 CHI15-117_Glyptotermes_sp. 	 CHI15-24_Glyptotermes_sp. 	 0.00 	 100.00 	 0.00 	 0.00 	 0.00 	 0.00 	 0.00 	 0.00 	 0.00 	 0.00
149 	 CHI15-66_Glyptotermes_sp. 	 THAI112_Glyptotermes_sp. 	 0.00 	 100.00 	 0.00 	 0.00 	 0.00 	 0.00 	 0.00 	 0.00 	 0.00 	 0.00
150 	 CHI15-117_Glyptotermes_sp. 	 THAI112_Glyptotermes_sp. 	 0.01 	 99.98 	 0.00 	 0.00 	 0.00 	 0.00 	 0.00 	 0.00 	 0.00 	 0.00
151 	 AUS101_Glyptotermes_nr.irridipenis 	 THAI112_Glyptotermes_sp. 	 0.11 	 99.61 	 0.01 	 0.22 	 0.01 	 0.01 	 0.01 	 0.01 	 0.01 	 0.01
152 	 KE15-168_Glyptotermes_brevicaudatus 	 RDCT163_Glyptotermes_sp. 	 100.00 	 0.00 	 0.00 	 0.00 	 0.00 	 0.00 	 0.00 	 0.00 	 0.00 	 0.00
153 	 Cam16-40_Glyptotermes_sp. 	 RDCT163_Glyptotermes_sp. 	 99.99 	 0.00 	 0.00 	 0.00 	 0.00 	 0.00 	 0.00 	 0.00 	 0.00 	 0.00
154 	 Cam16-42_Glyptotermes_sp. 	 Cam17-PG-1-TA_Glyptotermes_sp. 	 99.98 	 0.00 	 0.00 	 0.00 	 0.00 	 0.00 	 0.00 	 0.00 	 0.00 	 0.00
155 	 Cam16-40_Glyptotermes_sp. 	 Cam17-PG-1-TA_Glyptotermes_sp. 	 99.74 	 0.03 	 0.01 	 0.17 	 0.01 	 0.01 	 0.01 	 0.01 	 0.01 	 0.01
156 	 Cam16-40_Glyptotermes_sp. 	 FG-ND2-12_Glyptotermes_sp. 	 14.90 	 16.58 	 0.54 	 66.34 	 0.27 	 0.27 	 0.27 	 0.27 	 0.28 	 0.27
157 	 AUS101_Glyptotermes_nr.irridipenis 	 FG-ND2-12_Glyptotermes_sp. 	 1.59 	 73.94 	 0.17 	 23.35 	 0.16 	 0.16 	 0.16 	 0.16 	 0.17 	 0.16
158 	 CHI15-85_Glyptotermes_sp. 	 CHI15-87_Glyptotermes_sp. 	 0.00 	 100.00 	 0.00 	 0.00 	 0.00 	 0.00 	 0.00 	 0.00 	 0.00 	 0.00
159 	 CHI15-85_Glyptotermes_sp. 	 THAI108_Glyptotermes_sp. 	 0.00 	 100.00 	 0.00 	 0.00 	 0.00 	 0.00 	 0.00 	 0.00 	 0.00 	 0.00
160 	 CHI15-157_Glyptotermes_sp. 	 THAI108_Glyptotermes_sp. 	 0.00 	 100.00 	 0.00 	 0.00 	 0.00 	 0.00 	 0.00 	 0.00 	 0.00 	 0.00
161 	 CHI15-157_Glyptotermes_sp. 	 THAI114_Glyptotermes_sp. 	 0.00 	 100.00 	 0.00 	 0.00 	 0.00 	 0.00 	 0.00 	 0.00 	 0.00 	 0.00
162 	 phi38_Glyptotermes_sp. 	 phi49_Glyptotermes_sp. 	 0.00 	 100.00 	 0.00 	 0.00 	 0.00 	 0.00 	 0.00 	 0.00 	 0.00 	 0.00
163 	 phi37_Glyptotermes_sp. 	 phi49_Glyptotermes_sp. 	 0.00 	 100.00 	 0.00 	 0.00 	 0.00 	 0.00 	 0.00 	 0.00 	 0.00 	 0.00
164 	 KP026301_Glyptotermes_sp. 	 phi49_Glyptotermes_sp. 	 0.01 	 99.95 	 0.00 	 0.00 	 0.00 	 0.00 	 0.00 	 0.00 	 0.02 	 0.00
165 	 Glypto1_Glyptotermes_fuscus 	 phi49_Glyptotermes_sp. 	 0.08 	 94.51 	 0.05 	 0.06 	 0.32 	 0.05 	 0.05 	 0.07 	 4.75 	 0.05
166 	 NG21_Glyptotermes_sp. 	 SantoT_089_Glyptotermes_sp. 	 0.01 	 1.07 	 0.01 	 0.03 	 98.80 	 0.01 	 0.01 	 0.01 	 0.02 	 0.01
167 	 Glypto1_Glyptotermes_fuscus 	 SantoT_089_Glyptotermes_sp. 	 0.08 	 96.29 	 0.06 	 0.10 	 2.62 	 0.06 	 0.06 	 0.07 	 0.59 	 0.06
168 	 Glypto1_Glyptotermes_fuscus 	 THAI031_Glyptotermes_sp. 	 0.02 	 99.70 	 0.01 	 0.03 	 0.13 	 0.01 	 0.01 	 0.01 	 0.05 	 0.01
169 	 CHI15-157_Glyptotermes_sp. 	 THAI031_Glyptotermes_sp. 	 0.02 	 99.62 	 0.01 	 0.23 	 0.04 	 0.01 	 0.01 	 0.01 	 0.02 	 0.01
170 	 AUS101_Glyptotermes_nr.irridipenis 	 THAI031_Glyptotermes_sp. 	 0.27 	 60.55 	 0.06 	 38.77 	 0.07 	 0.05 	 0.05 	 0.05 	 0.06 	 0.05
171 	 AUS101_Glyptotermes_nr.irridipenis 	 FG17-12_Glyptotermes_perparvus 	 0.00 	 0.07 	 0.01 	 99.90 	 0.00 	 0.00 	 0.00 	 0.00 	 0.00 	 0.00
172 	 FL4667_0_Calcaritermes_nearcticus 	 PN959_0_Calcaritermes_brevicollis 	 0.01 	 0.01 	 0.02 	 99.69 	 0.01 	 0.01 	 0.01 	 0.23 	 0.01 	 0.01
