node	tip1ID	tip2ID	Afrotropical	Oriental	Australian	Neotropical	Oceanian	Madagascan	Saharo_Arabian	Nearctic	Sino_Japanese	Palearctic
150 	 AUS101_Glyptotermes_nr.irridipenis 	 AUS109_Glyptotermes_sp. 	 0.01 	 0.20 	 99.74 	 0.01 	 0.01 	 0.01 	 0.01 	 0.01 	 0.02 	 0.01
151 	 AUS101_Glyptotermes_nr.irridipenis 	 KP026257_Glyptotermes_satsumensis 	 0.26 	 61.80 	 15.39 	 0.24 	 0.24 	 0.24 	 0.24 	 0.29 	 21.08 	 0.24
152 	 CHI15-75_Glyptotermes_sp. 	 CHI15-80_Glyptotermes_sp. 	 0.00 	 99.98 	 0.00 	 0.00 	 0.00 	 0.00 	 0.00 	 0.00 	 0.00 	 0.00
153 	 AUS101_Glyptotermes_nr.irridipenis 	 CHI15-80_Glyptotermes_sp. 	 0.02 	 99.69 	 0.11 	 0.01 	 0.01 	 0.01 	 0.01 	 0.01 	 0.12 	 0.01
154 	 AUS101_Glyptotermes_nr.irridipenis 	 KP026300_Glyptotermes_sp. 	 0.01 	 99.97 	 0.00 	 0.00 	 0.00 	 0.00 	 0.00 	 0.00 	 0.01 	 0.00
155 	 CHI15-117_Glyptotermes_sp. 	 CHI15-24_Glyptotermes_sp. 	 0.00 	 100.00 	 0.00 	 0.00 	 0.00 	 0.00 	 0.00 	 0.00 	 0.00 	 0.00
156 	 CHI15-66_Glyptotermes_sp. 	 THAI112_Glyptotermes_sp. 	 0.00 	 100.00 	 0.00 	 0.00 	 0.00 	 0.00 	 0.00 	 0.00 	 0.00 	 0.00
157 	 CHI15-117_Glyptotermes_sp. 	 THAI112_Glyptotermes_sp. 	 0.00 	 99.99 	 0.00 	 0.00 	 0.00 	 0.00 	 0.00 	 0.00 	 0.00 	 0.00
158 	 AUS101_Glyptotermes_nr.irridipenis 	 THAI112_Glyptotermes_sp. 	 0.12 	 99.73 	 0.01 	 0.10 	 0.01 	 0.01 	 0.01 	 0.01 	 0.01 	 0.01
159 	 KE15-168_Glyptotermes_brevicaudatus 	 RDCT163_Glyptotermes_sp. 	 100.00 	 0.00 	 0.00 	 0.00 	 0.00 	 0.00 	 0.00 	 0.00 	 0.00 	 0.00
160 	 Cam16-40_Glyptotermes_sp. 	 RDCT163_Glyptotermes_sp. 	 99.99 	 0.00 	 0.00 	 0.00 	 0.00 	 0.00 	 0.00 	 0.00 	 0.00 	 0.00
161 	 Cam16-42_Glyptotermes_sp. 	 Cam17-PG-1-TA_Glyptotermes_sp. 	 100.00 	 0.00 	 0.00 	 0.00 	 0.00 	 0.00 	 0.00 	 0.00 	 0.00 	 0.00
162 	 Cam16-40_Glyptotermes_sp. 	 Cam17-PG-1-TA_Glyptotermes_sp. 	 99.37 	 0.13 	 0.03 	 0.33 	 0.02 	 0.02 	 0.02 	 0.02 	 0.02 	 0.02
163 	 Cam16-40_Glyptotermes_sp. 	 FG-ND2-12_Glyptotermes_sp. 	 21.33 	 19.23 	 0.50 	 57.30 	 0.27 	 0.27 	 0.27 	 0.27 	 0.28 	 0.27
164 	 AUS101_Glyptotermes_nr.irridipenis 	 FG-ND2-12_Glyptotermes_sp. 	 2.36 	 78.90 	 0.14 	 17.78 	 0.14 	 0.13 	 0.13 	 0.13 	 0.14 	 0.13
165 	 CHI15-85_Glyptotermes_sp. 	 CHI15-87_Glyptotermes_sp. 	 0.00 	 100.00 	 0.00 	 0.00 	 0.00 	 0.00 	 0.00 	 0.00 	 0.00 	 0.00
166 	 CHI15-85_Glyptotermes_sp. 	 THAI108_Glyptotermes_sp. 	 0.00 	 100.00 	 0.00 	 0.00 	 0.00 	 0.00 	 0.00 	 0.00 	 0.00 	 0.00
167 	 CHI15-157_Glyptotermes_sp. 	 THAI108_Glyptotermes_sp. 	 0.00 	 100.00 	 0.00 	 0.00 	 0.00 	 0.00 	 0.00 	 0.00 	 0.00 	 0.00
168 	 CHI15-157_Glyptotermes_sp. 	 THAI114_Glyptotermes_sp. 	 0.00 	 99.99 	 0.00 	 0.00 	 0.00 	 0.00 	 0.00 	 0.00 	 0.00 	 0.00
169 	 phi38_Glyptotermes_sp. 	 phi49_Glyptotermes_sp. 	 0.00 	 100.00 	 0.00 	 0.00 	 0.00 	 0.00 	 0.00 	 0.00 	 0.00 	 0.00
170 	 phi37_Glyptotermes_sp. 	 phi49_Glyptotermes_sp. 	 0.00 	 99.99 	 0.00 	 0.00 	 0.00 	 0.00 	 0.00 	 0.00 	 0.00 	 0.00
171 	 KP026301_Glyptotermes_sp. 	 phi49_Glyptotermes_sp. 	 0.01 	 99.96 	 0.00 	 0.00 	 0.00 	 0.00 	 0.00 	 0.00 	 0.01 	 0.00
172 	 Glypto1_Glyptotermes_fuscus 	 phi49_Glyptotermes_sp. 	 0.06 	 97.26 	 0.05 	 0.05 	 0.29 	 0.05 	 0.05 	 0.06 	 2.06 	 0.05
173 	 NG21_Glyptotermes_sp. 	 SantoT_089_Glyptotermes_sp. 	 0.00 	 0.19 	 0.00 	 0.01 	 99.79 	 0.00 	 0.00 	 0.00 	 0.00 	 0.00
174 	 Glypto1_Glyptotermes_fuscus 	 SantoT_089_Glyptotermes_sp. 	 0.04 	 97.02 	 0.03 	 0.05 	 2.36 	 0.03 	 0.03 	 0.03 	 0.36 	 0.03
175 	 Glypto1_Glyptotermes_fuscus 	 THAI031_Glyptotermes_sp. 	 0.01 	 99.94 	 0.00 	 0.01 	 0.03 	 0.00 	 0.00 	 0.00 	 0.01 	 0.00
176 	 CHI15-157_Glyptotermes_sp. 	 THAI031_Glyptotermes_sp. 	 0.04 	 99.74 	 0.01 	 0.15 	 0.02 	 0.01 	 0.01 	 0.01 	 0.01 	 0.01
177 	 AUS101_Glyptotermes_nr.irridipenis 	 THAI031_Glyptotermes_sp. 	 0.70 	 68.96 	 0.09 	 29.78 	 0.09 	 0.07 	 0.07 	 0.07 	 0.08 	 0.07
178 	 FG17-12_Glyptotermes_perparvus 	 KP026263_Glyptotermes_sp. 	 0.00 	 0.00 	 0.00 	 99.99 	 0.00 	 0.00 	 0.00 	 0.00 	 0.00 	 0.00
